index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
513,1.026,-8.021699253208969e-10,-0.1005845371952788,0.14746190551518495,-0.04697049571274308,2.5875367654583403e-11,0.0070786019838952885,5.000449747664675,1,0.00044974766467476,2.526821757896098e-10,0.0002057184664809395,3.207831901853129e-09,0.16754745064306079
514,1.028,-8.037338477886242e-10,-0.1005853043401179,0.1474564913281397,-0.04696462397685006,2.592451488551646e-11,0.007092528495628652,5.00043592294603,1,0.00043592294603023163,2.461448504956811e-10,0.0002061194701069606,3.2078774096840622e-09,0.16753383372731917
515,1.03,-8.052977702563514e-10,-0.10058607148495703,0.14745107714109446,-0.04695875224095705,2.5973662116449513e-11,0.007106455007362014,5.000420899060543,1,0.00042089906054343373,2.390349465039123e-10,0.00020652047316040145,3.207922941567553e-09,0.16752021681157678
516,1.032,-8.068616927240788e-10,-0.10058683862979614,0.14744566295404918,-0.046952880505064035,2.602280934738257e-11,0.007120381519095377,5.0004046759807,1,0.00040467598070037525,2.3135214558654687e-10,0.0002069214756409456,3.207968489696592e-09,0.1675065998958358
517,1.034,-8.08425615191806e-10,-0.10058760577463527,0.14744024876700393,-0.04694700876917102,2.607195657831562e-11,0.0071343080308287395,5.00038725368735,1,0.0003872536873501531,2.2309617117254331e-10,0.0002073224775483154,3.2080139924899408e-09,0.1674929829800937
518,1.036,-8.099895376595333e-10,-0.1005883729194744,0.14743483457995865,-0.046941137033278006,2.612110380924868e-11,0.007148234542562102,5.0003686321932275,1,0.00036863219322746943,2.142666920778295e-10,0.00020772347888217867,3.208059501986134e-09,0.16747936606435126
519,1.038,-8.115534601272606e-10,-0.1005891400643135,0.14742942039291343,-0.046935265297384995,2.6170251040181734e-11,0.007162161054295464,5.000348811460161,1,0.00034881146016108033,2.0486338236357605e-10,0.00020812447964221276,3.208105012112826e-09,0.16746574914860865
520,1.04,-8.13117382594988e-10,-0.10058990720915263,0.14742400620586815,-0.04692939356149198,2.621939827111479e-11,0.007176087566028827,5.000327791470954,1,0.00032779147095407524,1.9488589879970354e-10,0.000208525479828069,3.208150573173866e-09,0.16745213223286665
521,1.042,-8.146813050627151e-10,-0.10059067435399176,0.1474185920188229,-0.04692352182559897,2.626854550204784e-11,0.00719001407776219,5.000305572226752,1,0.0003055722267522043,1.8433397889859257e-10,0.0002089264794394889,3.2081961071088466e-09,0.16743851531712542
522,1.044,-8.162452275304428e-10,-0.10059144149883087,0.14741317783177765,-0.046917650089705956,2.6317692732980905e-11,0.007203940589495555,5.000282153688495,1,0.000282153688495157,1.7320731604827404e-10,0.00020932747847616197,3.208241607845442e-09,0.16742489840138242
523,1.046,-8.178091499981699e-10,-0.10059220864367,0.14740776364473238,-0.04691177835381294,2.6366839963913955e-11,0.007217867101228916,5.000257535861252,1,0.00025753586125176753,1.615055283392437e-10,0.00020972847693770825,3.208287186400287e-09,0.1674112814856418
